,label,youtube_id,time_start,time_end,split
1000,acting in play,qNBH5fOc7BY,52,62,train
1001,acting in play,42n8A_DEKo4,45,55,train
1002,acting in play,v_FKjSn3MOA,50,60,train
1003,acting in play,NoXbI7CvFzk,24,34,train
1004,acting in play,vpkutaP6Z8g,56,66,train
1005,acting in play,6feeQt1c99Y,0,10,train
1006,acting in play,ZILO862CrH4,65,75,train
1007,acting in play,YY72-lVMr3A,91,101,train
1008,acting in play,pVV11wlEC-A,96,106,train
1009,acting in play,27MYRIO5a_w,15,25,train
1010,acting in play,MzkGR0ir9D8,172,182,train
1011,acting in play,wrck1S7apnM,132,142,train
1012,acting in play,gvRboOCWj_g,7,17,train
1013,acting in play,Whq6GBGW4RQ,62,72,train
1014,acting in play,2DvHNcaIquU,490,500,train
1015,acting in play,JuLTgJce_aM,155,165,train
1016,acting in play,hk8SG-_Twec,6,16,train
1017,acting in play,wmlE-lQ59Tw,55,65,train
1018,acting in play,r8rKbBOhP7Q,29,39,train
1019,acting in play,HWMlQjHGGEA,1,11,train
1020,acting in play,B65Q3rVeIRg,15,25,train
1022,acting in play,yi8C0DCz_6M,81,91,train
1023,acting in play,GvgqcQ6bK_E,473,483,train
1024,acting in play,N5xC-Jso0_4,80,90,train
1025,acting in play,OF_i6ThivUA,1,11,train
1026,acting in play,2veEc03nBmE,208,218,train
1028,acting in play,iqyZu0k8Q3c,96,106,train
1030,acting in play,v5BY_GmYYLY,43,53,train
1031,acting in play,0mAd-IIJViA,11,21,train
1032,acting in play,qfeb4gEepVo,26,36,train
1033,acting in play,Ln4YyTdlYjY,115,125,train
1034,acting in play,1YkVezfbOPI,144,154,train
1035,acting in play,_QXN8imMDII,157,167,train
1036,acting in play,ahA0NhHbkAk,15,25,train
1037,acting in play,nbEs9xHR8hQ,17,27,train
1038,acting in play,Qes71SHJEkU,150,160,train
1039,acting in play,MfM0PTHedRk,17,27,train
1040,acting in play,DxjGHMg66V4,2,12,train
1041,acting in play,rhsJqLojLhI,1,11,train
1042,acting in play,QV0kpMaEwgQ,3,13,train
1043,acting in play,utj-fbYfYrA,59,69,train
1044,acting in play,eUcvp_vrTdI,59,69,train
1045,acting in play,leyph2t6nBY,42,52,train
1046,acting in play,LN5PN_SY8W0,10,20,train
1047,acting in play,GFUCI0TmL-4,41,51,train
1048,acting in play,pIq6J1JK8sc,0,10,train
1049,acting in play,GFNSqkl5WZE,65,75,train
1050,acting in play,ptAu5MrVE60,429,439,train
1051,acting in play,keljoBzTrRA,190,200,train
1053,acting in play,UCFh89pbew0,44,54,train
